x1,x2,year,count,url
Love Letters,Ketty Lester,1962,3,/ketty-lester/love-letters/
Love You So,Ron Holden with The Thunderbirds,1960,3,/ron-holden-with-the-thunderbirds/love-you-so/
Lover Please,Clyde McPhatter,1962,4,/clyde-mcphatter/lover-please/
Lovers Who Wander,Dion,1962,4,/dion/lovers-who-wander/
Mack The Knife,Bobby Darin,1959,16,/bobby-darin/mack-the-knife/
Mama,Connie Francis,1960,3,/connie-francis/mama/
Mama Said,The Shirelles,1961,4,/the-shirelles/mama-said/
Manhattan Spiritual,Reg Owen & His Orchestra,1959,2,/reg-owen-&-his-orchestra/manhattan-spiritual/
Many Tears Ago,Connie Francis,1960,4,/connie-francis/many-tears-ago/
Mashed Potato Time,Dee Dee Sharp,1962,9,/dee-dee-sharp/mashed-potato-time/
Mexico,Bob Moore and His Orch.,1961,3,/bob-moore-and-his-orch./mexico/
Michael,The Highwaymen,1961,9,/the-highwaymen/michael/
Midnight In Moscow,Kenny Ball and his Jazzmen,1962,7,/kenny-ball-and-his-jazzmen/midnight-in-moscow/
Mission Bell,Donnie Brooks,1960,4,/donnie-brooks/mission-bell/
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1962,7,"/bobby-""boris""-pickett-and-the-crypt-kickers/monster-mash/"
Moody River,Pat Boone,1961,6,/pat-boone/moody-river/
Mother-In-Law,Ernie K-Doe,1961,8,/ernie-k-doe/mother-in-law/
Mr. Blue,The Fleetwoods,1959,11,/the-fleetwoods/mr.-blue/
Mr. Custer,Larry Verne,1960,7,/larry-verne/mr.-custer/
Mule Skinner Blues,The Fendermen,1960,5,/the-fendermen/mule-skinner-blues/
My Empty Arms,Jackie Wilson,1961,1,/jackie-wilson/my-empty-arms/
My Happiness,Connie Francis,1959,7,/connie-francis/my-happiness/
My Heart Has A Mind Of Its Own,Connie Francis,1960,10,/connie-francis/my-heart-has-a-mind-of-its-own/
My Heart Is An Open Book,"Carl Dobkins, Jr.",1959,7,"/carl-dobkins,-jr./my-heart-is-an-open-book/"
My Home Town,Paul Anka,1960,2,/paul-anka/my-home-town/
My True Story,The Jive Five With Joe Rene And Orchestra,1961,4,/the-jive-five-with-joe-rene-and-orchestra/my-true-story/
Never Be Anyone Else But You,Ricky Nelson,1959,6,/ricky-nelson/never-be-anyone-else-but-you/
New Orleans,U.S. Bonds,1960,3,/u.s.-bonds/new-orleans/
Next Door To An Angel,Neil Sedaka,1962,5,/neil-sedaka/next-door-to-an-angel/
Night,Jackie Wilson,1960,6,/jackie-wilson/night/
Norman,Sue Thompson,1962,7,/sue-thompson/norman/
North To Alaska,Johnny Horton,1960,6,/johnny-horton/north-to-alaska/
North To Alaska,Johnny Horton,1961,2,/johnny-horton/north-to-alaska/
O Dio Mio,Annette,1960,1,/annette/o-dio-mio/
Oh! Carol,Neil Sedaka,1959,1,/neil-sedaka/oh!-carol/
Old Rivers,Walter Brennan,1962,4,/walter-brennan/old-rivers/
On The Rebound,Floyd Cramer,1961,6,/floyd-cramer/on-the-rebound/
One Mint Julep,Ray Charles,1961,3,/ray-charles/one-mint-julep/
One Night,Elvis Presley,1959,2,/elvis-presley/one-night/
One Track Mind,Bobby Lewis,1961,1,/bobby-lewis/one-track-mind/
Only Love Can Break A Heart,Gene Pitney,1962,4,/gene-pitney/only-love-can-break-a-heart/
Only The Lonely (Know How I Feel),Roy Orbison,1960,8,/roy-orbison/only-the-lonely-(know-how-i-feel)/
Only You,Franck Pourcel's French Fiddles,1959,4,/franck-pourcel's-french-fiddles/only-you/
P.T. 109,Jimmy Dean,1962,3,/jimmy-dean/p.t.-109/
Palisades Park,Freddy Cannon,1962,7,/freddy-cannon/palisades-park/
Paper Roses,Anita Bryant,1960,6,/anita-bryant/paper-roses/
Party Lights,Claudine Clark,1962,3,/claudine-clark/party-lights/
Patches,Dickey Lee,1962,7,/dickey-lee/patches/
Peppermint Twist - Part I,Joey Dee & the Starliters,1961,3,/joey-dee-&-the-starliters/peppermint-twist---part-i/
Peppermint Twist - Part I,Joey Dee & the Starliters,1962,9,/joey-dee-&-the-starliters/peppermint-twist---part-i/
Percolator (Twist),Billy Joe & The Checkmates,1962,1,/billy-joe-&-the-checkmates/percolator-(twist)/
Personality,Lloyd Price and His Orchestra,1959,10,/lloyd-price-and-his-orchestra/personality/
Peter Gunn,Ray Anthony and His Orchestra,1959,3,/ray-anthony-and-his-orchestra/peter-gunn/
Petite Fleur (Little Flower),Chris Barber's Jazz Band,1959,3,/chris-barber's-jazz-band/petite-fleur-(little-flower)/
Pink Shoe Laces,Dodie Stevens,1959,8,/dodie-stevens/pink-shoe-laces/
Playboy,The Marvelettes,1962,5,/the-marvelettes/playboy/
"Please Help Me, I'm Falling",Hank Locklin,1960,3,"/hank-locklin/please-help-me,-i'm-falling/"
Please Mr. Postman,The Marvelettes,1961,7,/the-marvelettes/please-mr.-postman/
Poetry In Motion,Johnny Tillotson,1960,7,/johnny-tillotson/poetry-in-motion/
Poison Ivy,The Coasters,1959,5,/the-coasters/poison-ivy/
Pony Time,Chubby Checker,1961,8,/chubby-checker/pony-time/
Popeye (The Hitchhiker),Chubby Checker,1962,1,/chubby-checker/popeye-(the-hitchhiker)/
Portrait Of My Love,Steve Lawrence,1961,1,/steve-lawrence/portrait-of-my-love/
Pretty Blue Eyes,Steve Lawrence,1959,1,/steve-lawrence/pretty-blue-eyes/
Pretty Blue Eyes,Steve Lawrence,1960,5,/steve-lawrence/pretty-blue-eyes/
Pretty Little Angel Eyes,Curtis Lee,1961,4,/curtis-lee/pretty-little-angel-eyes/
Primrose Lane,Jerry Wallace With The Jewels,1959,5,/jerry-wallace-with-the-jewels/primrose-lane/
Problems,The Everly Brothers,1959,2,/the-everly-brothers/problems/
Puppy Love,Paul Anka,1960,7,/paul-anka/puppy-love/
